Wall time,Step,Value
1736295688.4412913,2048,947
1736295689.866453,4096,982
1736295691.322414,6144,786.5714111328125
1736295692.6877263,8192,944.25
1736295694.104302,10240,950.4000244140625
1736295695.8598955,12288,489.32000732421875
1736295697.8279872,14336,298.2291564941406
1736295699.782437,16384,227
1736295701.7911775,18432,187.8265380859375
1736295704.165036,20480,77.37999725341797
1736295706.326902,22528,69.48000336
1736295708.5281558,24576,63.119998931884766
1736295710.839999,26624,55.91999816894531
1736295713.197825,28672,51.66999816894531
1736295715.6774437,30720,47.189998626708984
1736295718.2645433,32768,42.79999923706055
1736295720.8715298,34816,39.959999084472656
1736295723.6454353,36864,36.13999938964844
1736295726.4165754,38912,34.619998931884766
1736295729.625757,40960,31.260000228881836
1736295732.6723192,43008,29.170000076293945
1736295735.821801,45056,28.149999618530273
1736295739.0775466,47104,27.18000030517578
1736295742.4999886,49152,25.37999916
1736295745.972343,51200,24.219999313354492
1736295749.5356889,53248,22.81999969482422
1736295753.244295,55296,21.520000457763672
1736295756.9638848,57344,21.690000534057617
1736295760.7465796,59392,20.770000457763672
1736295764.7580128,61440,19.87000084
1736295768.7868457,63488,19.399999618530273
1736295772.8633199,65536,18.93000030517578
