Wall time,Step,Value
1736301703.391903,2048,2048.0
1736301705.4512897,4096,2048.0
1736301707.5528452,6144,2048.0
1736301709.6025152,8192,2048.0
1736301711.6539829,10240,2048.0
1736301713.7140205,12288,2048.0
1736301715.7773364,14336,2048.0
1736301717.8040445,16384,2048.0
1736301719.913878,18432,2048.0
1736301723.4289844,20480,2048.0
1736301725.4809155,22528,2048.0
1736301727.4949222,24576,2048.0
1736301729.5200534,26624,2048.0
1736301731.5732121,28672,2048.0
1736301733.6172543,30720,2048.0
1736301735.6402235,32768,2048.0
1736301737.6860194,34816,2048.0
1736301739.7609937,36864,2048.0
1736301741.8676357,38912,2048.0
1736301745.5006344,40960,2048.0
1736301747.5816052,43008,2048.0
1736301749.646388,45056,2048.0
1736301751.7079465,47104,2048.0
1736301753.7938159,49152,2048.0
1736301755.908304,51200,2048.0
1736301757.9817338,53248,2048.0
1736301760.072066,55296,2048.0
1736301762.1445112,57344,2048.0
1736301764.244698,59392,2048.0
1736301767.627813,61440,2048.0
1736301769.6314218,63488,2048.0
1736301771.6309645,65536,2048.0
1736301773.6727347,67584,2048.0
1736301775.7531338,69632,2048.0
1736301777.8613458,71680,1999.971435546875
1736301779.9547176,73728,2001.3055419921875
1736301782.0057456,75776,2002.567626953125
1736301784.0052054,77824,2003.76318359375
1736301786.053901,79872,2004.8974609375
1736301789.4500813,81920,1972.292724609375
1736301791.5239766,83968,1974.09521484375
1736301793.5959344,86016,1975.81396484375
1736301795.6632555,88064,1969.1590576171875
1736301797.730343,90112,1931.5
1736301799.8692188,92160,1868.040771484375
1736301801.912005,94208,1871.6400146484375
1736301804.1185746,96256,1749.5272216796875
1736301806.2241328,98304,1716.631591796875
1736301808.4550085,100352,1592.7301025390625
1736301811.8408408,102400,1547.5758056640625
1736301813.9200788,104448,1485.17138671875
1736301816.124411,106496,1381.883056640625
1736301818.4557502,108544,1261.9185791015625
1736301820.6744993,110592,1176.074462890625
1736301822.8635123,112640,1103.280029296875
1736301825.1736646,114688,900.3800048828125
1736301827.5842197,116736,613.5700073242188
1736301830.0650558,118784,321.30999755859375
1736301832.57488,120832,220.6999969482422
1736301836.5639477,122880,152.66000366210938
1736301839.161387,124928,120.16000366210938
1736301841.9163868,126976,101.63999938964844
1736301844.4345107,129024,99.37000274658203
1736301847.216574,131072,89.94000244140625
1736301849.9752622,133120,83.41000366210938
1736301852.860085,135168,74.2699966430664
1736301855.7221746,137216,66.18000030517578
1736301858.9360237,139264,56.7599983215332
1736301862.096591,141312,49.18000030517578
1736301865.6594622,143360,46.70000076293945
1736301869.2431257,145408,39.91999816894531
1736301872.790054,147456,36.810001373291016
1736301876.5667589,149504,33.709999084472656
1736301880.48139,151552,31.530000686645508
1736301884.3568995,153600,30.31999969482422
1736301888.5301745,155648,27.81999969482422
1736301892.7582843,157696,25.8700008392334
1736301896.9935966,159744,26.190000534057617
1736301901.319329,161792,24.780000686645508
1736301905.907294,163840,23.68000030517578
1736301910.5732105,165888,22.270000457763672
1736301915.0956771,167936,22.309999465942383
1736301919.7931917,169984,21.510000228881836
1736301924.5694544,172032,20.56999969482422
1736301929.3219485,174080,20.489999771118164
1736301934.1817062,176128,20.190000534057617
1736301938.917217,178176,21.040000915527344
1736301943.7234461,180224,19.979999542236328
1736301948.6522396,182272,19.43000030517578
1736301953.7432005,184320,19.229999542236328
1736301958.7065163,186368,18.860000610351562
1736301963.75403,188416,18.579999923706055
1736301967.3890264,190464,18.510000228881836
1736301970.7832043,192512,38.72999954223633
1736301975.8404968,194560,18.719999313354492
1736301977.8798757,196608,39.040000915527344
1736301983.0292625,198656,18.350000381469727
1736301986.6753666,200704,18.389999389648438
