Wall time,Step,Value
1741048643.8900192,2048,2048
1741048644.8255293,3072,702.3333129882812
1741048645.7202544,4096,702.3333129882812
1741048646.6085656,5120,1038.75
1741048647.5331507,6144,1038.75
1741048648.4744134,7168,1135.8333740234375
1741048649.417757,8192,1135.8333740234375
1741048650.3502944,9216,1000.3333129882812
1741048651.4959114,10240,1000.3333129882812
1741048652.4794374,11264,855.0769043
1741048653.2990625,12288,855.0769043
1741048654.1989615,13312,940.2857055664062
1741048655.0224445,14336,836.6875
1741048655.795793,15360,836.6875
1741048656.7481186,16384,780.4000244140625
1741048657.5310278,17408,780.4000244140625
1741048658.4169195,18432,840.7619018554688
1741048659.1966937,19456,840.7619018554688
1741048660,20480,822.5833129882812
1741048660.9336863,21504,822.5833129882812
1741048661.735457,22528,871.5999755859375
1741048662.6408825,23552,871.5999755859375
1741048663.661898,24576,670.861084
1741048664.5877655,25600,670.861084
1741048665.410033,26624,689.8421020507812
1741048666.1855881,27648,689.8421020507812
1741048667.334532,28672,561.9215698242188
1741048668.641718,29696,396.9053955078125
1741048669.5926876,30720,396.9053955078125
1741048670.6221938,31744,389.6172790527344
1741048671.547777,32768,389.6172790527344
1741048672.6199417,33792,367.15216064453125
1741048673.6388218,34816,318.8399963378906
1741048674.5512226,35840,318.8399963378906
1741048676.1934803,36864,126.43000030517578
1741048677.0752153,37888,126.43000030517578
1741048678.345008,38912,102.86000061035156
1741048680.5666995,39936,38.41999816894531
1741048682.8215377,40960,17.780000686645508
1741048685.128129,41984,16.489999771118164
1741048687.4534993,43008,16.40999984741211
1741048689.7593477,44032,15.899999618530273
1741048692.038985,45056,16.040000915527344
1741048694.380933,46080,15.770000457763672
1741048696.7337508,47104,15.899999618530273
1741048699.042842,48128,15.800000190734863
1741048701.4510243,49152,15.770000457763672
1741048703.7275512,50176,15.930000305175781
