Wall time,Step,Value
1736303707.0633478,2048,60.16666793823242
1736303709.4413512,4096,107.65384674072266
1736303711.611257,6144,147.38235473632812
1736303714.0046113,8192,138.51852416992188
1736303716.030945,10240,154.01785278320312
1736303718.123075,12288,177.60655212402344
1736303720.2348146,14336,194.2537384033203
1736303722.2584622,16384,221.51470947265625
1736303724.8014603,18432,180.0
1736303728.4470336,20480,178.42999267578125
1736303730.4212503,22528,178.6999969482422
1736303732.4367957,24576,198.94000244140625
1736303734.8082232,26624,176.86000061035156
1736303737.0462031,28672,197.33999633789062
1736303739.3213553,30720,166.61000061035156
1736303742.1845982,32768,123.4800033569336
1736303744.2436433,34816,102.94000244140625
1736303746.6530354,36864,103.88999938964844
1736303748.8934815,38912,83.4000015258789
1736303751.7843132,40960,81.9800033569336
1736303753.8209858,43008,102.31999969482422
1736303755.9997807,45056,122.87000274658203
1736303758.4961298,47104,118.16000366210938
1736303761.0875502,49152,84.73999786376953
1736303763.1526847,51200,109.91999816894531
1736303765.5870776,53248,69.79000091552734
1736303767.9429939,55296,90.66999816894531
1736303770.163516,57344,97.20999908447266
1736303772.2774315,59392,117.19999694824219
1736303774.4006093,61440,137.5399932861328
1736303776.4207776,63488,157.9199981689453
1736303778.452059,65536,165.8699951171875
1736303780.4606667,67584,186.19000244140625
1736303783.150549,69632,171.9600067138672
1736303785.2652466,71680,172.69000244140625
1736303787.4988813,73728,183.35000610351562
1736303789.9531338,75776,162.8300018310547
1736303792.1469843,77824,93.87999725341797
1736303794.2726364,79872,114.62999725341797
1736303797.498233,81920,134.1300048828125
1736303800.0365396,83968,113.7300033569336
1736303802.1038756,86016,132.83999633789062
1736303804.5660458,88064,119.9800033569336
1736303806.8948233,90112,124.4000015258789
1736303809.1024022,92160,124.11000061035156
1736303811.6021407,94208,103.36000061035156
1736303813.6070218,96256,123.0199966430664
1736303815.8600667,98304,103.26000213623047
1736303818.1946254,100352,109.80000305175781
1736303820.431641,102400,112.08000183105469
1736303822.7007623,104448,108.2699966430664
1736303824.7231004,106496,128.6300048828125
1736303826.8393507,108544,148.9499969482422
1736303828.8956573,110592,169.5
1736303831.0866525,112640,190.17999267578125
1736303833.5337577,114688,170.32000732421875
1736303835.7090719,116736,163.5
1736303837.8963091,118784,186.8800048828125
1736303840.3132517,120832,180.3800048828125
1736303842.6163034,122880,180.3699951171875
1736303845.0293922,124928,145.52000427246094
1736303847.412486,126976,150.52000427246094
1736303849.567425,129024,150.4199981689453
1736303851.696601,131072,171.5399932861328
1736303853.7277117,133120,191.60000610351562
1736303855.753077,135168,211.94000244140625
1736303857.9416406,137216,232.36000061035156
1736303859.9624746,139264,252.6699981689453
1736303862.1938176,141312,272.67999267578125
1736303865.4895067,143360,292.7300109863281
1736303867.548879,145408,313.05999755859375
1736303869.6491592,147456,324.3900146484375
1736303871.7321196,149504,344.6600036621094
1736303873.7551835,151552,364.9599914550781
1736303875.7629046,153600,385.20001220703125
1736303877.8457675,155648,381.3800048828125
1736303879.883398,157696,401.3800048828125
1736303881.965589,159744,405.82000732421875
1736303884.0578575,161792,423.6000061035156
1736303887.3990316,163840,444.1400146484375
1736303889.4464338,165888,464.45001220703125
1736303891.5438528,167936,456.5400085449219
1736303893.600979,169984,476.9700012207031
1736303895.5910988,172032,497.2900085449219
1736303897.8526783,174080,517.77001953125
1736303900.270117,176128,517.260009765625
1736303902.7330751,178176,399.1600036621094
1736303904.7955709,180224,419.8900146484375
1736303907.0364025,182272,320.3500061035156
1736303910.5572002,184320,260.4200134277344
1736303912.811296,186368,166.97000122070312
1736303915.118946,188416,147.27999877929688
1736303917.3236828,190464,146.69000244140625
1736303919.3819811,192512,166.3699951171875
1736303921.508987,194560,184.8300018310547
1736303923.596013,196608,205.10000610351562
1736303925.738684,198656,225.3000030517578
1736303927.8346426,200704,245.49000549316406
