Wall time,Step,Value
1736302705.4442222,2048,21.680850982666016
1736302710.2101564,4096,21.34000015258789
1736302714.9852474,6144,21.59000015258789
1736302718.9657059,8192,20.959999084472656
1736302723.672062,10240,27.989999771118164
1736302728.4655004,12288,21.100000381469727
1736302733.2264085,14336,21.579999923706055
1736302738.0338416,16384,21.329999923706055
1736302742.6759598,18432,22.399999618530273
1736302747.4877994,20480,22.229999542236328
1736302750.776536,22528,42.279998779296875
1736302755.5479548,24576,20.770000457763672
1736302760.4835522,26624,20.959999084472656
1736302765.4101498,28672,20.510000228881836
1736302770.160692,30720,21.149999618530273
1736302775.0554876,32768,20.670000076293945
1736302779.7933106,34816,20.790000915527344
1736302784.7309797,36864,19.799999237060547
1736302789.8447483,38912,20.3799991607666
1736302795.0958188,40960,20.110000610351562
1736302800.0486479,43008,20.280000686645508
1736302803.545362,45056,19.850000381469727
1736302807.1737864,47104,40.02000045776367
1736302812.2564416,49152,19.670000076293945
1736302817.4156373,51200,18.959999084472656
1736302822.515729,53248,19.43000030517578
1736302827.6199672,55296,19.229999542236328
1736302832.8139973,57344,18.56999969482422
1736302837.9947567,59392,18.719999313354492
1736302843.3588912,61440,18.40999984741211
1736302848.456619,63488,18.760000228881836
1736302853.694442,65536,18.149999618530273
1736302858.8080423,67584,19.049999237060547
1736302863.9960878,69632,18.280000686645508
1736302869.1829054,71680,17.940000534057617
1736302874.239713,73728,19.579999923706055
1736302879.413523,75776,18.6200008392334
1736302884.6244588,77824,18.510000228881836
1736302888.3201568,79872,18.68000030517578
1736302892.0297596,81920,38.65999984741211
1736302897.2194133,83968,18.920000076293945
1736302901.0882323,86016,18.280000686645508
1736302904.5198095,88064,38.279998779296875
1736302909.6953948,90112,17.979999542236328
1736302914.8144443,92160,18.520000457763672
1736302920.101943,94208,17.860000610351562
1736302925.170565,96256,18.479999542236328
1736302930.402954,98304,17.8799991607666
1736302935.7107022,100352,18.149999618530273
1736302941.204904,102400,18.09000015258789
1736302946.5623455,104448,17.540000915527344
1736302951.9223592,106496,18.110000610351562
1736302957.2311394,108544,17.920000076293945
1736302962.5551882,110592,18.06999969482422
1736302967.8001187,112640,18.579999923706055
1736302973.189503,114688,18.170000076293945
1736302978.4287586,116736,18.219999313354492
1736302983.7702715,118784,17.829999923706055
1736302989.1249688,120832,17.780000686645508
1736302994.5885315,122880,17.579999923706055
1736303000.0014117,124928,17.450000762939453
1736303005.282312,126976,17.65999984741211
1736303010.6895378,129024,17.399999618530273
1736303015.9933078,131072,17.459999084472656
1736303021.3945758,133120,17.489999771118164
1736303026.8136995,135168,17.350000381469727
1736303032.2099433,137216,17.229999542236328
1736303037.8169582,139264,17.25
1736303043.469235,141312,17.18000030517578
1736303049.3315916,143360,17.059999465942383
1736303056.0417366,145408,16.920000076293945
1736303062.467051,147456,16.969999313354492
1736303068.1992624,149504,16.899999618530273
1736303073.6957288,151552,17.040000915527344
1736303079.3430748,153600,17.110000610351562
1736303085.312313,155648,16.84000015258789
1736303090.8940241,157696,16.690000534057617
1736303096.377957,159744,16.940000534057617
1736303101.932399,161792,16.6299991607666
1736303107.6604652,163840,16.549999237060547
1736303113.239466,165888,16.56999969482422
1736303118.846612,167936,16.40999984741211
1736303124.5075014,169984,16.260000228881836
1736303130.1195023,172032,16.350000381469727
1736303135.7642038,174080,16.200000762939453
1736303141.3964853,176128,16.239999771118164
1736303146.9568958,178176,16.229999542236328
1736303152.5478287,180224,16.15999984741211
1736303158.1646867,182272,16.209999084472656
1736303163.8961492,184320,16.229999542236328
1736303169.5788925,186368,16.190000534057617
1736303175.3091543,188416,16.200000762939453
1736303181.02431,190464,16.15999984741211
1736303186.7095325,192512,16.15999984741211
1736303192.4167602,194560,16.219999313354492
1736303198.1273665,196608,16.209999084472656
1736303203.8177335,198656,16.110000610351562
1736303209.5975432,200704,16.100000381469727
